FIPS,jurisdiction_name,state_name_abbreviation,e2016_votediff,voters_removed_total,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote,total_registered_voters
12065,JEFFERSON COUNTY,FL,389,488,1,0,3930,3541,9929
33011,NASHUA 09,NH,424,483,1,0,100013,99589,7144
33011,NASHUA 05,NH,424,481,1,0,100013,99589,7205
13301,WARREN COUNTY,GA,323,459,0,1,991,1314,3675
13259,STEWART COUNTY,GA,417,456,0,1,805,1222,3073
33011,NASHUA 04,NH,424,445,1,0,100013,99589,4904
30023,DEER LODGE COUNTY,MT,295,328,0,1,1763,2058,5511
31173,THURSTON COUNTY,NE,124,307,1,0,1043,919,4581
13061,CLAY COUNTY,GA,131,280,0,1,566,697,1932
37177,TYRRELL COUNTY,NC,255,279,1,0,975,720,2422
27087,MAHNOMEN COUNTY,MN,61,254,1,0,991,930,2649
30005,BLAINE COUNTY,MT,66,239,1,0,1268,1202,4175
13239,QUITMAN COUNTY,GA,114,224,1,0,575,461,1602
13007,BAKER COUNTY,GA,125,185,1,0,775,650,2221
28055,ISSAQUENA COUNTY,MS,97,126,0,1,298,395,1052
46031,CORSON COUNTY,SD,53,104,1,0,588,535,2574
46137,ZIEBACH COUNTY,SD,15,80,1,0,368,353,1746
50019,LOWELL,VT,26,75,0,1,5159,5185,607
50019,GREENSBORO,VT,26,50,0,1,5159,5185,600
50019,ALBANY,VT,26,44,0,1,5159,5185,664
