FIPS,e2016_votediff,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote
15001,23758,false,true,17501,41259
15003,85370,false,true,90326,175696
15007,8882,false,true,7574,16456
15009,20034,false,true,13446,33480
16001,18075,true,false,93752,75677
16003,1141,true,false,1556,415
16005,6838,true,false,17180,10342
16007,1733,true,false,2203,255
16009,2333,true,false,3103,770
16011,7983,true,false,10907,2924
16013,3076,false,true,3340,6416
16015,1896,true,false,2673,777
16017,7524,true,false,13343,5819
16019,17769,true,false,26699,8930
16021,2856,true,false,3789,933
16023,754,true,false,914,160
16025,300,true,false,410,110
16027,30339,true,false,47222,16883
16029,1786,true,false,2275,271
16031,4756,true,false,5949,1036
16033,159,true,false,203,44
16035,2148,true,false,2852,704
16037,1350,true,false,1777,427
16039,4002,true,false,5816,1814
16041,2688,true,false,3901,385
16043,3116,true,false,4090,651
16045,4751,true,false,5980,1229
16047,2813,true,false,3743,930
16049,5245,true,false,6441,1196
16051,6373,true,false,8436,976
16053,3315,true,false,4644,1329
16055,28185,true,false,44449,16264
16057,828,false,true,7265,8093
16059,2278,true,false,3011,733
16061,932,true,false,1202,270
16063,824,true,false,1184,360
16065,3395,true,false,8941,1201
16067,3720,true,false,4887,1167
16069,5871,true,false,10699,4828
16071,1178,true,false,1531,184
16073,2461,true,false,3052,591
16075,4982,true,false,6489,1507
16077,967,true,false,1666,699
16079,1913,true,false,3297,1384
16081,8,true,false,2167,2159
16083,13595,true,false,19828,6233
16085,993,true,false,2906,1913
16087,2507,true,false,3283,776
17001,15114,true,false,22790,7676
17003,234,true,false,1496,1262
17005,2820,true,false,4888,2068
17007,3296,true,false,12282,8986
17009,1320,true,false,1796,476
17011,3252,true,false,9281,6029
17013,982,true,false,1721,739
17015,1987,true,false,4434,2447
17017,1595,true,false,3216,1621
17019,16769,false,true,33368,50137
17021,6551,true,false,10543,3992
17023,3745,true,false,5622,1877
17025,4001,true,false,5021,1020
17027,8467,true,false,12412,3945
17029,5694,true,false,13003,7309
17031,1158659,false,true,453287,1611946
17033,4285,true,false,6277,1992
17035,3175,true,false,4206,1031
17037,1375,false,true,19091,20466
17039,3167,true,false,5077,1910
17041,3749,true,false,5698,1949
17043,62207,false,true,166415,228622
17045,3852,true,false,5645,1793
17047,2344,true,false,2778,434
17049,10552,true,false,13635,3083
17051,5553,true,false,7372,1819
17053,3066,true,false,4480,1414
17055,8389,true,false,13116,4727
17057,2359,true,false,8492,6133
17059,1285,true,false,1942,657
17061,2940,true,false,4145,1205
17063,5389,true,false,13454,8065
17065,2404,true,false,3206,802
17067,4291,true,false,6430,2139
17069,1233,true,false,1653,420
17071,1000,true,false,2155,1155
17073,5114,true,false,13985,8871
17075,7246,true,false,9750,2504
17077,791,false,true,10843,11634
17079,3051,true,false,3975,924
17081,7270,true,false,11695,4425
17083,5069,true,false,7748,2679
17085,1659,true,false,6121,4462
17087,3507,true,false,4649,1142
17089,20931,false,true,82734,103665
17091,6158,true,false,25129,18971
17093,77,true,false,24961,24884
17095,654,true,false,10737,10083
17097,61328,false,true,109767,171095
17099,7146,true,false,26689,19543
17101,3231,true,false,4521,1290
17103,3084,true,false,8612,5528
17105,6185,true,false,10208,4023
17107,4868,true,false,8181,3313
17109,1507,true,false,6795,5288
17111,10809,true,false,71612,60803
17113,1041,true,false,37237,36196
17115,8523,true,false,26866,18343
17117,7633,true,false,14322,6689
17119,19903,true,false,70490,50587
17121,7490,true,false,11859,4369
17123,1996,true,false,3785,1789
17125,2044,true,false,4058,2014
17127,3288,true,false,4846,1558
17129,2414,true,false,4231,1817
17131,1736,true,false,4807,3071
17133,7094,true,false,12629,5535
17135,5126,true,false,8630,3504
17137,4380,true,false,9076,4696
17139,2974,true,false,4455,1481
17141,6302,true,false,14352,8050
17143,2427,false,true,35633,38060
17145,4393,true,false,6855,2462
17147,2989,true,false,5634,2645
17149,4341,true,false,5754,1413
17151,1303,true,false,1678,375
17153,713,true,false,1675,962
17155,620,true,false,1767,1147
17157,6584,true,false,10023,3439
17159,4155,true,false,5739,1584
17161,5300,false,true,26998,32298
17163,6899,false,true,53857,60756
17165,5704,true,false,8276,2572
17167,9037,true,false,49944,40907
17169,1449,true,false,2524,1075
17171,1431,true,false,1966,535
17173,5941,true,false,8229,2288
17175,1027,true,false,1778,751
17177,3315,true,false,11083,7768
17179,18022,true,false,38707,20685
17181,3388,true,false,5790,2402
17183,9048,true,false,19087,10039
17185,2896,true,false,4047,1151
17187,1288,true,false,4275,2987
17189,4123,true,false,5571,1448
17191,5919,true,false,6967,1048
17193,4228,true,false,5640,1412
17195,1580,true,false,12615,11035
17197,19207,false,true,132720,151927
17199,12989,true,false,21570,8581
17201,89,false,true,55624,55713
17203,8115,true,false,13207,5092
18001,6843,true,false,9648,2805
18003,28548,true,false,83930,55382
18005,10799,true,false,20640,9841
18007,1719,true,false,2579,860
18009,2107,true,false,3350,1243
18011,9473,true,false,19654,10181
18013,2498,true,false,5016,2518
18015,4381,true,false,6273,1892
18017,5942,true,false,9701,3759
18019,11227,true,false,30035,18808
18021,6225,true,false,8531,2306
18023,5712,true,false,8531,2819
18025,1692,true,false,3015,1323
18027,6745,true,false,8545,1800
18029,13230,true,false,18113,4883
18031,6369,true,false,8490,2121
18033,8112,true,false,12054,3942
18035,6110,true,false,24263,18153
18037,7976,true,false,13365,5389
18039,21127,true,false,41867,20740
18041,4587,true,false,6839,2252
18043,7487,true,false,21432,13945
18045,4186,true,false,5662,1476
18047,6700,true,false,8669,1969
18049,4050,true,false,6010,1960
18051,7360,true,false,11081,3721
18053,9998,true,false,17008,7010
18055,7348,true,false,10277,2929
18057,30141,true,false,87404,57263
18059,16170,true,false,25074,8904
18061,8160,true,false,12943,4783
18063,25737,true,false,48337,22600
18065,8771,true,false,13895,5124
18067,12460,true,false,23675,11215
18069,8143,true,false,11649,3506
18071,9016,true,false,12859,3843
18073,6053,true,false,9382,3329
18075,3808,true,false,5697,1889
18077,4220,true,false,8546,4326
18079,5860,true,false,8224,2364
18081,28138,true,false,45456,17318
18083,7305,true,false,11077,3772
18085,17622,true,false,23935,6313
18087,4945,true,false,7025,2080
18089,41310,false,true,75625,116935
18091,2889,true,false,22687,19798
18093,9825,true,false,14035,4210
18095,13781,true,false,32376,18595
18097,82539,false,true,130360,212899
18099,7490,true,false,12288,4798
18101,2816,true,false,3697,881
18103,7209,true,false,9975,2766
18105,13624,false,true,20592,34216
18107,7697,true,false,11059,3362
18109,17634,true,false,23674,6040
18111,2673,true,false,4077,1404
18113,8294,true,false,12198,3904
18115,1432,true,false,2118,686
18117,3755,true,false,5803,2048
18119,4207,true,false,6153,1946
18121,3422,true,false,4863,1441
18123,1494,true,false,4556,3062
18125,3101,true,false,4398,1297
18127,5156,true,false,38832,33676
