FIPSCode,Jurisdiction_Name,State_Abbr,A1a,A1b,A9a,A9b,A9c,A9d,A9e,A9f,A9g
24675,TOWN OF EXCELSIOR - SAUK COUNTY,WI,1061,1061,108,25,13,1,69,0,0
24700,VILLAGE OF EXELAND - SAWYER COUNTY,WI,95,95,15,5,2,0,8,0,0
24725,TOWN OF EXETER - GREEN COUNTY,WI,1337,1337,123,36,14,0,73,0,0
24775,TOWN OF FAIRBANKS - SHAWANO COUNTY,WI,382,382,47,14,7,1,25,0,0
24825,VILLAGE OF FAIRCHILD - EAU CLAIRE COUNTY,WI,247,247,52,21,7,3,21,0,0
24850,TOWN OF FAIRCHILD - EAU CLAIRE COUNTY,WI,157,157,14,6,3,0,5,0,0
24900,TOWN OF FAIRFIELD - SAUK COUNTY,WI,755,755,67,17,11,0,39,0,0
25075,VILLAGE OF FAIRWATER - FOND DU LAC COUNTY,WI,185,185,21,4,6,0,11,0,0
25125,VILLAGE OF FALL CREEK - EAU CLAIRE COUNTY,WI,851,851,99,44,10,0,45,0,0
25150,VILLAGE OF FALL RIVER - COLUMBIA COUNTY,WI,969,969,132,58,8,0,66,0,0
25300,TOWN OF FARMINGTON - JEFFERSON COUNTY,WI,1006,1006,77,10,19,1,43,0,0
25325,TOWN OF FARMINGTON - LA CROSSE COUNTY,WI,1257,1257,147,46,23,1,74,0,0
25350,TOWN OF FARMINGTON - POLK COUNTY,WI,1140,1140,212,44,20,2,42,0,0
25375,TOWN OF FARMINGTON - WASHINGTON COUNTY,WI,2420,2420,227,63,35,5,124,0,0
25400,TOWN OF FARMINGTON - WAUPACA COUNTY,WI,2420,2420,410,102,165,4,139,0,0
25475,TOWN OF FAYETTE - LAFAYETTE COUNTY,WI,213,213,23,7,4,0,12,0,0
25575,TOWN OF FENCE - FLORENCE COUNTY,WI,156,156,19,5,5,1,7,0,0
25600,CITY OF FENNIMORE - GRANT COUNTY,WI,1273,1273,200,99,26,3,64,0,0
25625,TOWN OF FENNIMORE - GRANT COUNTY,WI,264,264,30,19,4,0,7,0,0
